date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:54	786/786	---M--	200	added ('OK')	image/png	etag:%22312-57473c1616580%22	https://www.sih.gov.in/img/md-facebook-icon.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/md-facebook-icon.png	(from https://www.sih.gov.in/mediaSocialMedia)
17:32:57	22267/22267	---M--	200	added ('OK')	image/png	etag:%2256fb-57f04b6bd2880%22	https://www.sih.gov.in/img/pdf.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/pdf.png	(from https://www.sih.gov.in/faqs)
17:33:01	257722/257722	---M--	200	added ('OK')	application/pdf	etag:%223eeba-57fa6e59b1d40%22	https://www.sih.gov.in/letters/Student%20FAQs.pdf	D:/My_Web%20Sites/SIH/www.sih.gov.in/letters/Student%20FAQs.pdf	(from https://www.sih.gov.in/faqs)
17:33:01	732618/732618	---M--	200	added ('OK')	image/png	etag:%22b2dca-57473c08bc600%22	https://www.sih.gov.in/img/banner_support.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/banner_support.png	(from https://www.sih.gov.in/faqs)
17:33:03	399891/399891	---M--	200	added ('OK')	application/pdf	etag:%2261a13-57c57306cf800%22	https://www.sih.gov.in/pdf/SPOC_FAQs.pdf	D:/My_Web%20Sites/SIH/www.sih.gov.in/pdf/SPOC_FAQs.pdf	(from https://www.sih.gov.in/faqs)
17:33:04	80711/80711	---M--	200	added ('OK')	image/gif	etag:%2213b47-57b534db89e00%22	https://www.sih.gov.in/img/loader.gif	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/loader.gif	(from https://www.sih.gov.in/knowYourCollegeSPOC)
17:33:04	10429/10429	---M--	200	added ('OK')	image/png	etag:%2228bd-57ce73e982040%22	https://www.sih.gov.in/img/Insta_black.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/Insta_black.png	(from https://www.sih.gov.in/contactUs)
17:33:08	36868/36868	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	D:/My_Web%20Sites/SIH/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from https://www.sih.gov.in/grievance)
17:33:08	23070/23070	---M-Z	200	added ('OK')	application/javascript	etag:%225a1e-IUhhlLqiLrEVX+mL969jFOd3PMc%22	https://cdn.jsdelivr.net/jquery.validation/1.16.0/jquery.validate.min.js	D:/My_Web%20Sites/SIH/cdn.jsdelivr.net/jquery.validation/1.16.0/jquery.validate.min.js	(from https://www.sih.gov.in/grievance)
17:33:11	201/201	---M--	200	added ('OK')	image/png	etag:%22c9-575aa9c41c780%22	https://www.sih.gov.in/dataTable/images/sort_both.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/dataTable/images/sort_both.png	(from https://www.sih.gov.in/dataTable/css/jquery.dataTables.css)
